round,classifier,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1_score,process_time
1,Nearest_Neighbors,99.54887218045113,99.53438638248764,99.5132275132275,99.53438638248764,99.95027111647174,99.52165872141077,7321
1,SVM_Linear,99.84962406015038,99.81481481481481,99.84126984126985,99.81481481481481,99.98341625207297,99.82654205607477,209431
2,Nearest_Neighbors,100.0,100.0,100.0,100.0,100.0,100.0,3992
2,SVM_Linear,100.0,100.0,100.0,100.0,100.0,100.0,210228
3,Nearest_Neighbors,99.69924812030075,99.69286359530261,99.6799795186892,99.69286359530261,99.96685996068224,99.6838915498151,3940
3,SVM_Linear,99.69924812030075,99.69286359530261,99.6799795186892,99.69286359530261,99.96685996068224,99.6838915498151,210060
4,Nearest_Neighbors,99.84962406015038,99.8360655737705,99.84126984126985,99.8360655737705,99.98341625207297,99.83735537190081,3719
4,SVM_Linear,100.0,100.0,100.0,100.0,100.0,100.0,207546
5,Nearest_Neighbors,99.54887218045113,99.57183092167527,99.59175845790715,99.57183092167527,99.9492262035308,99.57956137198062,3718
5,SVM_Linear,99.54887218045113,99.57183092167527,99.59175845790715,99.57183092167527,99.9492262035308,99.57956137198062,204076
6,Nearest_Neighbors,100.0,100.0,100.0,100.0,100.0,100.0,3710
6,SVM_Linear,100.0,100.0,100.0,100.0,100.0,100.0,208679
7,Nearest_Neighbors,99.69924812030075,99.7141143542583,99.71931862175765,99.7141143542583,99.96626359341087,99.71540415238863,3825
7,SVM_Linear,100.0,100.0,100.0,100.0,100.0,100.0,219917
8,Nearest_Neighbors,99.84962406015038,99.8780487804878,99.83870967741936,99.8780487804878,99.98344370860927,99.85734949374034,3830
8,SVM_Linear,99.84962406015038,99.8780487804878,99.83870967741936,99.8780487804878,99.98344370860927,99.85734949374034,210227
9,Nearest_Neighbors,99.69924812030075,99.72420262664166,99.6984126984127,99.72420262664166,99.96663772858302,99.70918848086032,3823
9,SVM_Linear,100.0,100.0,100.0,100.0,100.0,100.0,212340
10,Nearest_Neighbors,99.69924812030075,99.72849018528709,99.69159953970082,99.72849018528709,99.96656854147233,99.708681901523,3714
10,SVM_Linear,99.84962406015038,99.85507246376812,99.875,99.85507246376812,99.98293515358363,99.86411421750907,210747
