round,classifier,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1_score,process_time
1,Nearest_Neighbors,98.94736842105263,98.92317515871609,98.99330136950098,98.92317515871609,99.88230558152515,98.95506440860467,3681
1,SVM_Linear,99.54887218045113,99.53249181860683,99.60959053605727,99.53249181860683,99.94900397143158,99.56897169538479,146659
2,Nearest_Neighbors,98.64661654135338,98.57527349025436,98.681396507077,98.57527349025436,99.84925857111827,98.61611771049736,3680
2,SVM_Linear,99.69924812030075,99.66921815199562,99.7182277497085,99.66921815199562,99.96626359341087,99.6926335313432,149382
3,Nearest_Neighbors,99.3984962406015,99.38521957579421,99.39282223153191,99.38521957579421,99.93333185178601,99.38398562100593,3777
3,SVM_Linear,99.69924812030075,99.70855725506406,99.6799795186892,99.70855725506406,99.96685996068224,99.69187940827024,147227
4,Nearest_Neighbors,99.3984962406015,99.35143757191997,99.45542693511118,99.35143757191997,99.9323296261027,99.39959620867178,3699
4,SVM_Linear,99.84962406015038,99.83870967741936,99.87951807228916,99.83870967741936,99.9828473413379,99.85809312638581,146146
5,Nearest_Neighbors,98.94736842105263,98.88581646006706,98.99546926587203,98.88581646006706,99.88227664344151,98.9351453068274,3788
5,SVM_Linear,99.54887218045113,99.53249181860683,99.58785140562247,99.53249181860683,99.94928084475652,99.55554011722812,145235
6,Nearest_Neighbors,99.09774436090225,99.03146141107013,99.14098514098514,99.03146141107013,99.89938280687062,99.07600834868732,3791
6,SVM_Linear,99.69924812030075,99.66921815199562,99.66921815199562,99.66921815199562,99.96691460190796,99.66921815199562,148450
7,Nearest_Neighbors,99.54887218045113,99.52212806026365,99.55361360415684,99.52212806026365,99.9497715370188,99.53669319186561,3832
7,SVM_Linear,100.0,100.0,100.0,100.0,100.0,100.0,148522
8,Nearest_Neighbors,99.24812030075188,99.19203431887959,99.26412381575999,99.19203431887959,99.91620489626601,99.22258621754591,3776
8,SVM_Linear,99.84962406015038,99.83870967741936,99.87951807228916,99.83870967741936,99.9828473413379,99.85809312638581,146196
9,Nearest_Neighbors,99.69924812030075,99.70726495726495,99.69047619047619,99.70726495726495,99.96671982634504,99.69657449073642,3709
9,SVM_Linear,100.0,100.0,100.0,100.0,100.0,100.0,149079
10,Nearest_Neighbors,99.09774436090225,99.08572847094497,99.10428646905771,99.08572847094497,99.89964860487527,99.08688850417721,3711
10,SVM_Linear,99.54887218045113,99.54726693248344,99.5554681353265,99.54726693248344,99.94970730202016,99.54998755942894,145829
